Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating
R_000108,R,1.5 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.5 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF1504V,1%,150V
R_000109,R,15.4 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 15.4 Ω 1% 0805 150V,Panasonic,ERJ-6ENF15R4V,1%,150V
R_000110,R,154 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 154 Ω 1% 0805 150V,Panasonic,ERJ-6ENF1540V,1%,150V
R_000111,R,1.54 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.54 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1541V,1%,150V
R_000112,R,15.4 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 15.4 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1542V,1%,150V
R_000113,R,154 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 154 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1543V,1%,150V
R_000114,R,1.54 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.54 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF1544V,1%,150V
R_000115,R,15.8 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 15.8 Ω 1% 0805 150V,Panasonic,ERJ-6ENF15R8V,1%,150V
R_000116,R,158 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 158 Ω 1% 0805 150V,Panasonic,ERJ-6ENF1580V,1%,150V
R_000117,R,1.58 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.58 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1581V,1%,150V
