Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
C_GCM31MR71H334KA37D,C,330 nF,footprints:C_1206_3216Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM31MR71H334KA37-01.pdf,CAP SMD 330 nF X7R 10% 1206 50V,Murata Electronics,GCM31MR71H334KA37D,X7R,10%,50V,1206,3216,GCM31M,https://www.trustedparts.com/en/search/GCM31MR71H334KA37D
C_GCM31MR71H334KA37J,C,330 nF,footprints:C_1206_3216Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM31MR71H334KA37-01.pdf,CAP SMD 330 nF X7R 10% 1206 50V,Murata Electronics,GCM31MR71H334KA37J,X7R,10%,50V,1206,3216,GCM31M,https://www.trustedparts.com/en/search/GCM31MR71H334KA37J
C_GCM31MR71H394KA37D,C,390 nF,footprints:C_1206_3216Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM31MR71H394KA37-01.pdf,CAP SMD 390 nF X7R 10% 1206 50V,Murata Electronics,GCM31MR71H394KA37D,X7R,10%,50V,1206,3216,GCM31M,https://www.trustedparts.com/en/search/GCM31MR71H394KA37D
C_GCM31MR71H394KA37J,C,390 nF,footprints:C_1206_3216Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM31MR71H394KA37-01.pdf,CAP SMD 390 nF X7R 10% 1206 50V,Murata Electronics,GCM31MR71H394KA37J,X7R,10%,50V,1206,3216,GCM31M,https://www.trustedparts.com/en/search/GCM31MR71H394KA37J
C_GCM31MR71H474KA37D,C,470 nF,footprints:C_1206_3216Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM31MR71H474KA37-01.pdf,CAP SMD 470 nF X7R 10% 1206 50V,Murata Electronics,GCM31MR71H474KA37D,X7R,10%,50V,1206,3216,GCM31M,https://www.trustedparts.com/en/search/GCM31MR71H474KA37D
C_GCM31MR71H474KA37J,C,470 nF,footprints:C_1206_3216Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM31MR71H474KA37-01.pdf,CAP SMD 470 nF X7R 10% 1206 50V,Murata Electronics,GCM31MR71H474KA37J,X7R,10%,50V,1206,3216,GCM31M,https://www.trustedparts.com/en/search/GCM31MR71H474KA37J
C_GCM31MR71H684KA55K,C,680 nF,footprints:C_1206_3216Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM31MR71H684KA55-01.pdf,CAP SMD 680 nF X7R 10% 1206 50V,Murata Electronics,GCM31MR71H684KA55K,X7R,10%,50V,1206,3216,GCM31M,https://www.trustedparts.com/en/search/GCM31MR71H684KA55K
C_GCM31MR71H684KA55L,C,680 nF,footprints:C_1206_3216Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM31MR71H684KA55-01.pdf,CAP SMD 680 nF X7R 10% 1206 50V,Murata Electronics,GCM31MR71H684KA55L,X7R,10%,50V,1206,3216,GCM31M,https://www.trustedparts.com/en/search/GCM31MR71H684KA55L
C_GCM31MR71H824KA55K,C,820 nF,footprints:C_1206_3216Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM31MR71H824KA55-01.pdf,CAP SMD 820 nF X7R 10% 1206 50V,Murata Electronics,GCM31MR71H824KA55K,X7R,10%,50V,1206,3216,GCM31M,https://www.trustedparts.com/en/search/GCM31MR71H824KA55K
C_GCM31MR71H824KA55L,C,820 nF,footprints:C_1206_3216Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM31MR71H824KA55-01.pdf,CAP SMD 820 nF X7R 10% 1206 50V,Murata Electronics,GCM31MR71H824KA55L,X7R,10%,50V,1206,3216,GCM31M,https://www.trustedparts.com/en/search/GCM31MR71H824KA55L
C_GCM31MR71H105KA55K,C,1 µF,footprints:C_1206_3216Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM31MR71H105KA55-01.pdf,CAP SMD 1 µF X7R 10% 1206 50V,Murata Electronics,GCM31MR71H105KA55K,X7R,10%,50V,1206,3216,GCM31M,https://www.trustedparts.com/en/search/GCM31MR71H105KA55K
C_GCM31MR71H105KA55L,C,1 µF,footprints:C_1206_3216Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM31MR71H105KA55-01.pdf,CAP SMD 1 µF X7R 10% 1206 50V,Murata Electronics,GCM31MR71H105KA55L,X7R,10%,50V,1206,3216,GCM31M,https://www.trustedparts.com/en/search/GCM31MR71H105KA55L
