Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A)
L_XFL5015-221ME,L,220 nH,footprints:XFL5015,https://www.coilcraft.com/getmedia/5f7b596c-8f2f-415e-931e-74a5b6804936/xfl5015.pdf,INDUCTOR SMD 220 nH ±20% AEC-Q200,Coilcraft,XFL5015-221ME,±20%,XFL5015,https://www.trustedparts.com/en/search/XFL5015-221ME,0.0
L_XFL5015-421ME,L,420 nH,footprints:XFL5015,https://www.coilcraft.com/getmedia/5f7b596c-8f2f-415e-931e-74a5b6804936/xfl5015.pdf,INDUCTOR SMD 420 nH ±20% AEC-Q200,Coilcraft,XFL5015-421ME,±20%,XFL5015,https://www.trustedparts.com/en/search/XFL5015-421ME,0.0
L_XFL5015-681ME,L,680 nH,footprints:XFL5015,https://www.coilcraft.com/getmedia/5f7b596c-8f2f-415e-931e-74a5b6804936/xfl5015.pdf,INDUCTOR SMD 680 nH ±20% AEC-Q200,Coilcraft,XFL5015-681ME,±20%,XFL5015,https://www.trustedparts.com/en/search/XFL5015-681ME,0.0
L_XFL5015-122ME,L,1.2 µH,footprints:XFL5015,https://www.coilcraft.com/getmedia/5f7b596c-8f2f-415e-931e-74a5b6804936/xfl5015.pdf,INDUCTOR SMD 1.2 µH ±20% AEC-Q200,Coilcraft,XFL5015-122ME,±20%,XFL5015,https://www.trustedparts.com/en/search/XFL5015-122ME,0.0
L_XFL5015-152ME,L,1.5 µH,footprints:XFL5015,https://www.coilcraft.com/getmedia/5f7b596c-8f2f-415e-931e-74a5b6804936/xfl5015.pdf,INDUCTOR SMD 1.5 µH ±20% AEC-Q200,Coilcraft,XFL5015-152ME,±20%,XFL5015,https://www.trustedparts.com/en/search/XFL5015-152ME,0.0
