Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A)
L_XFL6012-181ME,L,180 nH,footprints:XFL6012,https://www.coilcraft.com/getmedia/ae4a44fc-deeb-45d7-81a6-abe1d0432add/xfl6012.pdf,INDUCTOR SMD 180 nH ±20% AEC-Q200,Coilcraft,XFL6012-181ME,±20%,XFL6012,https://www.trustedparts.com/en/search/XFL6012-181ME,13.2
L_XFL6012-391ME,L,390 nH,footprints:XFL6012,https://www.coilcraft.com/getmedia/ae4a44fc-deeb-45d7-81a6-abe1d0432add/xfl6012.pdf,INDUCTOR SMD 390 nH ±20% AEC-Q200,Coilcraft,XFL6012-391ME,±20%,XFL6012,https://www.trustedparts.com/en/search/XFL6012-391ME,12.5
L_XFL6012-601ME,L,600 nH,footprints:XFL6012,https://www.coilcraft.com/getmedia/ae4a44fc-deeb-45d7-81a6-abe1d0432add/xfl6012.pdf,INDUCTOR SMD 600 nH ±20% AEC-Q200,Coilcraft,XFL6012-601ME,±20%,XFL6012,https://www.trustedparts.com/en/search/XFL6012-601ME,11.2
L_XFL6012-801ME,L,800 nH,footprints:XFL6012,https://www.coilcraft.com/getmedia/ae4a44fc-deeb-45d7-81a6-abe1d0432add/xfl6012.pdf,INDUCTOR SMD 800 nH ±20% AEC-Q200,Coilcraft,XFL6012-801ME,±20%,XFL6012,https://www.trustedparts.com/en/search/XFL6012-801ME,9.4
L_XFL6012-102ME,L,1 µH,footprints:XFL6012,https://www.coilcraft.com/getmedia/ae4a44fc-deeb-45d7-81a6-abe1d0432add/xfl6012.pdf,INDUCTOR SMD 1 µH ±20% AEC-Q200,Coilcraft,XFL6012-102ME,±20%,XFL6012,https://www.trustedparts.com/en/search/XFL6012-102ME,8.0
