Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search
L_XAL5020-161ME,L,160 nH,footprints:XAL5020,https://www.coilcraft.com/getmedia/1941eff1-c018-493c-8cd6-d88d2edf5029/xal5020.pdf,INDUCTOR SMD 160 nH ±20% AEC-Q200,Coilcraft,XAL5020-161ME,±20%,XAL5020,https://www.trustedparts.com/en/search/XAL5020-161ME
L_XAL5020-331ME,L,330 nH,footprints:XAL5020,https://www.coilcraft.com/getmedia/1941eff1-c018-493c-8cd6-d88d2edf5029/xal5020.pdf,INDUCTOR SMD 330 nH ±20% AEC-Q200,Coilcraft,XAL5020-331ME,±20%,XAL5020,https://www.trustedparts.com/en/search/XAL5020-331ME
L_XAL5020-561ME,L,560 nH,footprints:XAL5020,https://www.coilcraft.com/getmedia/1941eff1-c018-493c-8cd6-d88d2edf5029/xal5020.pdf,INDUCTOR SMD 560 nH ±20% AEC-Q200,Coilcraft,XAL5020-561ME,±20%,XAL5020,https://www.trustedparts.com/en/search/XAL5020-561ME
L_XAL5020-801ME,L,800 nH,footprints:XAL5020,https://www.coilcraft.com/getmedia/1941eff1-c018-493c-8cd6-d88d2edf5029/xal5020.pdf,INDUCTOR SMD 800 nH ±20% AEC-Q200,Coilcraft,XAL5020-801ME,±20%,XAL5020,https://www.trustedparts.com/en/search/XAL5020-801ME
L_XAL5020-122ME,L,1.2 µH,footprints:XAL5020,https://www.coilcraft.com/getmedia/1941eff1-c018-493c-8cd6-d88d2edf5029/xal5020.pdf,INDUCTOR SMD 1.2 µH ±20% AEC-Q200,Coilcraft,XAL5020-122ME,±20%,XAL5020,https://www.trustedparts.com/en/search/XAL5020-122ME
