Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_ZA9384-ALD,L,470 µH,transformer_footprints:ZA9384,https://www.coilcraft.com/getmedia/cc4df0c9-0883-48fa-b8fb-d5dedac2b455/za9384.pdf,COUPLED INDUCTOR SMD 470 µH ±10% AEC-Q200,Coilcraft,ZA9384-ALD,±10%,ZA9384,https://www.trustedparts.com/en/search/ZA9384-ALD,0.8,1.100
L_ZA9644-AED,L,470 µH,transformer_footprints:ZA9644,https://www.coilcraft.com/getmedia/cc4df0c9-0883-48fa-b8fb-d5dedac2b455/za9384.pdf,COUPLED INDUCTOR SMD 470 µH ±10% AEC-Q200,Coilcraft,ZA9644-AED,±10%,ZA9644,https://www.trustedparts.com/en/search/ZA9644-AED,0.5,1.800
