Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A)
L_XAL4030-332ME,L,3.3 µH,footprints:XAL4030,https://www.coilcraft.com/getmedia/6adcb47d-8b55-416c-976e-1e22e0d2848c/xal4000.pdf,INDUCTOR SMD 3.3 µH ±20% AEC-Q200,Coilcraft,XAL4030-332ME,±20%,XAL4030,https://www.trustedparts.com/en/search/XAL4030-332ME,0.0
L_XAL4030-472ME,L,4.7 µH,footprints:XAL4030,https://www.coilcraft.com/getmedia/6adcb47d-8b55-416c-976e-1e22e0d2848c/xal4000.pdf,INDUCTOR SMD 4.7 µH ±20% AEC-Q200,Coilcraft,XAL4030-472ME,±20%,XAL4030,https://www.trustedparts.com/en/search/XAL4030-472ME,0.0
L_XAL4030-682ME,L,6.8 µH,footprints:XAL4030,https://www.coilcraft.com/getmedia/6adcb47d-8b55-416c-976e-1e22e0d2848c/xal4000.pdf,INDUCTOR SMD 6.8 µH ±20% AEC-Q200,Coilcraft,XAL4030-682ME,±20%,XAL4030,https://www.trustedparts.com/en/search/XAL4030-682ME,0.0
