Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search
L_XAL4020-221ME,L,220 nH,footprints:XAL4020,https://www.coilcraft.com/getmedia/6adcb47d-8b55-416c-976e-1e22e0d2848c/xal4000.pdf,INDUCTOR SMD 220 nH ±20% AEC-Q200,Coilcraft,XAL4020-221ME,±20%,XAL4020,https://www.trustedparts.com/en/search/XAL4020-221ME
L_XAL4020-401ME,L,400 nH,footprints:XAL4020,https://www.coilcraft.com/getmedia/6adcb47d-8b55-416c-976e-1e22e0d2848c/xal4000.pdf,INDUCTOR SMD 400 nH ±20% AEC-Q200,Coilcraft,XAL4020-401ME,±20%,XAL4020,https://www.trustedparts.com/en/search/XAL4020-401ME
L_XAL4020-601ME,L,600 nH,footprints:XAL4020,https://www.coilcraft.com/getmedia/6adcb47d-8b55-416c-976e-1e22e0d2848c/xal4000.pdf,INDUCTOR SMD 600 nH ±20% AEC-Q200,Coilcraft,XAL4020-601ME,±20%,XAL4020,https://www.trustedparts.com/en/search/XAL4020-601ME
L_XAL4020-102ME,L,1 µH,footprints:XAL4020,https://www.coilcraft.com/getmedia/6adcb47d-8b55-416c-976e-1e22e0d2848c/xal4000.pdf,INDUCTOR SMD 1 µH ±20% AEC-Q200,Coilcraft,XAL4020-102ME,±20%,XAL4020,https://www.trustedparts.com/en/search/XAL4020-102ME
L_XAL4020-122ME,L,1.2 µH,footprints:XAL4020,https://www.coilcraft.com/getmedia/6adcb47d-8b55-416c-976e-1e22e0d2848c/xal4000.pdf,INDUCTOR SMD 1.2 µH ±20% AEC-Q200,Coilcraft,XAL4020-122ME,±20%,XAL4020,https://www.trustedparts.com/en/search/XAL4020-122ME
L_XAL4020-152ME,L,1.5 µH,footprints:XAL4020,https://www.coilcraft.com/getmedia/6adcb47d-8b55-416c-976e-1e22e0d2848c/xal4000.pdf,INDUCTOR SMD 1.5 µH ±20% AEC-Q200,Coilcraft,XAL4020-152ME,±20%,XAL4020,https://www.trustedparts.com/en/search/XAL4020-152ME
L_XAL4020-222ME,L,2.2 µH,footprints:XAL4020,https://www.coilcraft.com/getmedia/6adcb47d-8b55-416c-976e-1e22e0d2848c/xal4000.pdf,INDUCTOR SMD 2.2 µH ±20% AEC-Q200,Coilcraft,XAL4020-222ME,±20%,XAL4020,https://www.trustedparts.com/en/search/XAL4020-222ME
