Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A)
L_XAL6060-472ME,L,4.7 µH,footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 4.7 µH ±20% AEC-Q200,Coilcraft,XAL6060-472ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-472ME,0.0
L_XAL6060-562ME,L,5.6 µH,footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 5.6 µH ±20% AEC-Q200,Coilcraft,XAL6060-562ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-562ME,0.0
L_XAL6060-682ME,L,6.8 µH,footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 6.8 µH ±20% AEC-Q200,Coilcraft,XAL6060-682ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-682ME,0.0
L_XAL6060-822ME,L,8.2 µH,footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 8.2 µH ±20% AEC-Q200,Coilcraft,XAL6060-822ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-822ME,0.0
L_XAL6060-103ME,L,10 µH,footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 10 µH ±20% AEC-Q200,Coilcraft,XAL6060-103ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-103ME,0.0
L_XAL6060-153ME,L,15 µH,footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 15 µH ±20% AEC-Q200,Coilcraft,XAL6060-153ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-153ME,0.0
L_XAL6060-223ME,L,22 µH,footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 22 µH ±20% AEC-Q200,Coilcraft,XAL6060-223ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-223ME,0.0
L_XAL6060-333ME,L,33 µH,footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 33 µH ±20% AEC-Q200,Coilcraft,XAL6060-333ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-333ME,0.0
