Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search
L_XFL5030-271ME,L,270 nH,footprints:XFL5030,https://www.coilcraft.com/getmedia/f01e4ccd-6be9-43eb-bb01-c23b4deeb2c5/xfl5030.pdf,INDUCTOR SMD 270 nH ±20% AEC-Q200,Coilcraft,XFL5030-271ME,±20%,XFL5030,https://www.trustedparts.com/en/search/XFL5030-271ME
L_XFL5030-561ME,L,560 nH,footprints:XFL5030,https://www.coilcraft.com/getmedia/f01e4ccd-6be9-43eb-bb01-c23b4deeb2c5/xfl5030.pdf,INDUCTOR SMD 560 nH ±20% AEC-Q200,Coilcraft,XFL5030-561ME,±20%,XFL5030,https://www.trustedparts.com/en/search/XFL5030-561ME
L_XFL5030-102ME,L,1 µH,footprints:XFL5030,https://www.coilcraft.com/getmedia/f01e4ccd-6be9-43eb-bb01-c23b4deeb2c5/xfl5030.pdf,INDUCTOR SMD 1 µH ±20% AEC-Q200,Coilcraft,XFL5030-102ME,±20%,XFL5030,https://www.trustedparts.com/en/search/XFL5030-102ME
L_XFL5030-222ME,L,2.2 µH,footprints:XFL5030,https://www.coilcraft.com/getmedia/f01e4ccd-6be9-43eb-bb01-c23b4deeb2c5/xfl5030.pdf,INDUCTOR SMD 2.2 µH ±20% AEC-Q200,Coilcraft,XFL5030-222ME,±20%,XFL5030,https://www.trustedparts.com/en/search/XFL5030-222ME
L_XFL5030-332ME,L,3.3 µH,footprints:XFL5030,https://www.coilcraft.com/getmedia/f01e4ccd-6be9-43eb-bb01-c23b4deeb2c5/xfl5030.pdf,INDUCTOR SMD 3.3 µH ±20% AEC-Q200,Coilcraft,XFL5030-332ME,±20%,XFL5030,https://www.trustedparts.com/en/search/XFL5030-332ME
L_XFL5030-472ME,L,4.7 µH,footprints:XFL5030,https://www.coilcraft.com/getmedia/f01e4ccd-6be9-43eb-bb01-c23b4deeb2c5/xfl5030.pdf,INDUCTOR SMD 4.7 µH ±20% AEC-Q200,Coilcraft,XFL5030-472ME,±20%,XFL5030,https://www.trustedparts.com/en/search/XFL5030-472ME
