Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search
L_XAL7050-103ME,L,10 µH,footprints:XAL7050,https://www.coilcraft.com/getmedia/13a991b3-4273-4be3-81ba-f3cf372b4691/xal7050.pdf,INDUCTOR SMD 10 µH ±20% AEC-Q200,Coilcraft,XAL7050-103ME,±20%,XAL7050,https://www.trustedparts.com/en/search/XAL7050-103ME
L_XAL7050-153ME,L,15 µH,footprints:XAL7050,https://www.coilcraft.com/getmedia/13a991b3-4273-4be3-81ba-f3cf372b4691/xal7050.pdf,INDUCTOR SMD 15 µH ±20% AEC-Q200,Coilcraft,XAL7050-153ME,±20%,XAL7050,https://www.trustedparts.com/en/search/XAL7050-153ME
L_XAL7050-183ME,L,18 µH,footprints:XAL7050,https://www.coilcraft.com/getmedia/13a991b3-4273-4be3-81ba-f3cf372b4691/xal7050.pdf,INDUCTOR SMD 18 µH ±20% AEC-Q200,Coilcraft,XAL7050-183ME,±20%,XAL7050,https://www.trustedparts.com/en/search/XAL7050-183ME
L_XAL7050-223ME,L,22 µH,footprints:XAL7050,https://www.coilcraft.com/getmedia/13a991b3-4273-4be3-81ba-f3cf372b4691/xal7050.pdf,INDUCTOR SMD 22 µH ±20% AEC-Q200,Coilcraft,XAL7050-223ME,±20%,XAL7050,https://www.trustedparts.com/en/search/XAL7050-223ME
L_XAL7050-333ME,L,33 µH,footprints:XAL7050,https://www.coilcraft.com/getmedia/13a991b3-4273-4be3-81ba-f3cf372b4691/xal7050.pdf,INDUCTOR SMD 33 µH ±20% AEC-Q200,Coilcraft,XAL7050-333ME,±20%,XAL7050,https://www.trustedparts.com/en/search/XAL7050-333ME
L_XAL7050-473ME,L,47 µH,footprints:XAL7050,https://www.coilcraft.com/getmedia/13a991b3-4273-4be3-81ba-f3cf372b4691/xal7050.pdf,INDUCTOR SMD 47 µH ±20% AEC-Q200,Coilcraft,XAL7050-473ME,±20%,XAL7050,https://www.trustedparts.com/en/search/XAL7050-473ME
