Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_MSD7342-252ML,L,2.5 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 2.5 µH ±20% AEC-Q200,Coilcraft,MSD7342-252ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-252ML,6.3,0.033
L_MSD7342-332ML,L,3.3 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 3.3 µH ±20% AEC-Q200,Coilcraft,MSD7342-332ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-332ML,5.4,0.033
L_MSD7342-472ML,L,4.7 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 4.7 µH ±20% AEC-Q200,Coilcraft,MSD7342-472ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-472ML,4.6,0.033
L_MSD7342-562ML,L,5.6 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 5.6 µH ±20% AEC-Q200,Coilcraft,MSD7342-562ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-562ML,4.2,0.033
L_MSD7342-682ML,L,6.8 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 6.8 µH ±20% AEC-Q200,Coilcraft,MSD7342-682ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-682ML,3.9,0.070
