Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search
L_XFL2005-151ME,L,150 nH,footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 150 nH ±20% AEC-Q200,Coilcraft,XFL2005-151ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-151ME
L_XFL2005-221ME,L,220 nH,footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 220 nH ±20% AEC-Q200,Coilcraft,XFL2005-221ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-221ME
L_XFL2005-331ME,L,330 nH,footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 330 nH ±20% AEC-Q200,Coilcraft,XFL2005-331ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-331ME
L_XFL2005-471ME,L,470 nH,footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 470 nH ±20% AEC-Q200,Coilcraft,XFL2005-471ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-471ME
L_XFL2005-681ME,L,680 nH,footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 680 nH ±20% AEC-Q200,Coilcraft,XFL2005-681ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-681ME
L_XFL2005-102ME,L,1 µH,footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 1 µH ±20% AEC-Q200,Coilcraft,XFL2005-102ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-102ME
L_XFL2005-152ME,L,1.5 µH,footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 1.5 µH ±20% AEC-Q200,Coilcraft,XFL2005-152ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-152ME
L_XFL2005-222ME,L,2.2 µH,footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 2.2 µH ±20% AEC-Q200,Coilcraft,XFL2005-222ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-222ME
L_XFL2005-332ME,L,3.3 µH,footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 3.3 µH ±20% AEC-Q200,Coilcraft,XFL2005-332ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-332ME
L_XFL2005-472ME,L,4.7 µH,footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 4.7 µH ±20% AEC-Q200,Coilcraft,XFL2005-472ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-472ME
L_XFL2005-562ME,L,5.6 µH,footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 5.6 µH ±20% AEC-Q200,Coilcraft,XFL2005-562ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-562ME
L_XFL2005-682ME,L,6.8 µH,footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 6.8 µH ±20% AEC-Q200,Coilcraft,XFL2005-682ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-682ME
L_XFL2005-822ME,L,8.2 µH,footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 8.2 µH ±20% AEC-Q200,Coilcraft,XFL2005-822ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-822ME
L_XFL2005-103ME,L,10 µH,footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 10 µH ±20% AEC-Q200,Coilcraft,XFL2005-103ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-103ME
