Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating
J_TB004-508-02BE,J,TB004-508-02BE,connector_footprints:TB004-508-02BE,https://www.sameskydevices.com/product/resource/tb004-508.pdf,"Same Sky TB004-508 series,  2 positions connector,  5.08 mm pitch,  Blue,  Vertical mounting,  16.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TB004-508-02BE,TB004-508,https://www.trustedparts.com/en/search/TB004-508-02BE,Blue,5.08,2,Vertical,16.0,300,Through Hole,Tin
J_TB004-508-03BE,J,TB004-508-03BE,connector_footprints:TB004-508-03BE,https://www.sameskydevices.com/product/resource/tb004-508.pdf,"Same Sky TB004-508 series,  3 positions connector,  5.08 mm pitch,  Blue,  Vertical mounting,  16.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TB004-508-03BE,TB004-508,https://www.trustedparts.com/en/search/TB004-508-03BE,Blue,5.08,3,Vertical,16.0,300,Through Hole,Tin
J_TB004-508-04BE,J,TB004-508-04BE,connector_footprints:TB004-508-04BE,https://www.sameskydevices.com/product/resource/tb004-508.pdf,"Same Sky TB004-508 series,  4 positions connector,  5.08 mm pitch,  Blue,  Vertical mounting,  16.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TB004-508-04BE,TB004-508,https://www.trustedparts.com/en/search/TB004-508-04BE,Blue,5.08,4,Vertical,16.0,300,Through Hole,Tin
J_TB004-508-05BE,J,TB004-508-05BE,connector_footprints:TB004-508-05BE,https://www.sameskydevices.com/product/resource/tb004-508.pdf,"Same Sky TB004-508 series,  5 positions connector,  5.08 mm pitch,  Blue,  Vertical mounting,  16.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TB004-508-05BE,TB004-508,https://www.trustedparts.com/en/search/TB004-508-05BE,Blue,5.08,5,Vertical,16.0,300,Through Hole,Tin
J_TB004-508-06BE,J,TB004-508-06BE,connector_footprints:TB004-508-06BE,https://www.sameskydevices.com/product/resource/tb004-508.pdf,"Same Sky TB004-508 series,  6 positions connector,  5.08 mm pitch,  Blue,  Vertical mounting,  16.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TB004-508-06BE,TB004-508,https://www.trustedparts.com/en/search/TB004-508-06BE,Blue,5.08,6,Vertical,16.0,300,Through Hole,Tin
